,Artist,Track,Album,Album_type,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_min,Views,Likes,Comments,Licensed,Stream,most_playedon,duration_ms,explicit,year,popularity,key,genre
1402,Darell,Otro Trago,Sueños,album,0.746,0.7,-4.669,0.341,0.136,0.000159,0.11,0.619,176.044,3.76555,657079989,5070860,94502,True,633554007,Youtube,225933,True,2019,71,0,latin
1403,Troye Sivan,i'm so tired...,~how i'm feeling~,album,0.548,0.735,-7.572,0.236,0.173,0.0,0.195,0.498,101.252,2.709783333333333,19749885,425337,8902,True,790751685,Spotify,162582,False,2019,2,11,"pop, Dance/Electronic"
1404,Lauv,i'm so tired...,~how i'm feeling~,album,0.548,0.735,-7.572,0.236,0.173,0.0,0.195,0.498,101.252,2.709783333333333,19749887,425337,8902,True,790751685,Spotify,162582,False,2019,2,11,"pop, Dance/Electronic"
1405,AJR,Weak,The Click,album,0.67,0.643,-4.553,0.0465,0.118,0.0,0.192,0.703,123.979,3.35265,79467829,1165701,45487,True,628232520,Spotify,201160,False,2017,0,5,rock
1406,Bastille,Pompeii,Bad Blood,album,0.679,0.715,-6.383,0.0407,0.0755,0.0,0.271,0.571,127.435,3.5691333333333333,711949767,5178283,217631,True,1229480697,Spotify,214147,False,2013,74,9,"pop, rock"
1407,Bastille,Good Grief,Wild World (Complete Edition),album,0.73,0.758,-4.888,0.0653,0.147,0.0,0.311,0.877,120.041,3.44155,9810308,74052,1428,True,269955637,Spotify,206493,False,2016,65,1,"pop, rock"
1408,Bastille,Of The Night,All This Bad Blood,album,0.67,0.829,-7.2,0.0427,0.0192,0.000225,0.089,0.349,125.01,3.5701,53887945,400342,12947,True,169755498,Spotify,214205,False,2013,61,5,"pop, rock"
1409,Clean Bandit,Symphony (feat. Zara Larsson),What Is Love? (Deluxe Edition),album,0.715,0.605,-5.128,0.0428,0.239,1.41e-05,0.189,0.454,122.956,3.54555,1207659517,7387812,187852,True,1220003456,Spotify,214866,False,2017,0,0,"pop, Dance/Electronic"
1410,Zara Larsson,Symphony (feat. Zara Larsson),What Is Love? (Deluxe Edition),album,0.715,0.605,-5.128,0.0428,0.239,1.41e-05,0.189,0.454,122.956,3.54555,1207659517,7387813,187852,True,1220003456,Spotify,214866,False,2017,0,0,"pop, Dance/Electronic"
1411,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),What Is Love? (Deluxe Edition),album,0.717,0.73,-4.729,0.0568,0.383,0.0,0.398,0.792,102.002,4.186216666666667,2761229559,13333328,301384,True,1312649614,Youtube,251088,False,2016,75,9,"pop, Dance/Electronic"
1412,Clean Bandit,Rather Be (feat. Jess Glynne),New Eyes,album,0.799,0.586,-6.735,0.0377,0.162,2.03e-06,0.193,0.549,120.97,3.7972166666666665,707730122,3924598,97785,True,1096645997,Spotify,227833,False,2014,72,11,"pop, Dance/Electronic"
1413,Aleman,Grillz,Grillz,single,0.618,0.601,-5.922,0.201,0.424,0.0,0.105,0.531,82.588,3.2087833333333333,4034638,135182,3251,True,6141533,Spotify,271160,False,2005,60,4,"hip hop, pop, R&B"
1414,Chance the Rapper,Cross Me (feat. Chance the Rapper & PnB Rock),No.6 Collaborations Project,album,0.746,0.787,-6.373,0.12,0.212,0.0,0.0669,0.607,95.005,3.43645,50704674,674266,15784,True,371025581,Spotify,206186,True,2019,64,4,pop
1415,PnB Rock,Cross Me (feat. Chance the Rapper & PnB Rock),No.6 Collaborations Project,album,0.746,0.787,-6.373,0.12,0.212,0.0,0.0669,0.607,95.005,3.43645,50704704,674266,15784,True,371025581,Spotify,206186,True,2019,64,4,pop
1416,Natti Natasha,Sin Pijama,MALA SANTA,album,0.788,0.745,-4.417,0.0448,0.352,4.56e-05,0.0973,0.79,94.002,3.1693333333333333,2086480719,8624889,366369,True,710166109,Youtube,188560,False,2018,69,11,"pop, latin"
1417,Becky G,Sin Pijama,MALA SANTA,album,0.788,0.745,-4.417,0.0448,0.352,4.56e-05,0.0973,0.79,94.002,3.1693333333333333,2086480901,8624891,366369,True,710166109,Youtube,188560,False,2018,69,11,"pop, latin"
1418,MNEK,Never Forget You,So Good,album,0.583,0.732,-5.728,0.0457,0.00312,9.86e-06,0.269,0.276,145.992,3.5571333333333333,519338846,3755899,100424,True,877421698,Spotify,213427,False,2017,73,11,"pop, Dance/Electronic"
1419,MNEK,Never Forget You,So Good,album,0.583,0.732,-5.728,0.0457,0.00312,9.86e-06,0.269,0.276,145.992,3.5571333333333333,519338846,3755899,100424,True,877421698,Spotify,213427,False,2015,45,11,Dance/Electronic
1420,Zara Larsson,Never Forget You,So Good,album,0.583,0.732,-5.728,0.0457,0.00312,9.86e-06,0.269,0.276,145.992,3.5571333333333333,519338846,3755899,100424,True,877421698,Spotify,213427,False,2017,73,11,"pop, Dance/Electronic"
1421,Zara Larsson,Never Forget You,So Good,album,0.583,0.732,-5.728,0.0457,0.00312,9.86e-06,0.269,0.276,145.992,3.5571333333333333,519338846,3755899,100424,True,877421698,Spotify,213427,False,2015,45,11,Dance/Electronic
